Echo Name,NPC,Location,Area,Zone,Rarity,Description
Drillmaster's Rebuke,,,,,Epic,"Your melee attacks have a chance to unleash an Unbalancing Strike, dealing 350% weapon damage and leaving the target Unbalanced, increasing your damage dealt to it by 10% for 6 sec."
Edict of the Four,The Four Horsemen,Dragonblight - Naxxramas,Raid,,Epic,"Your damaging spells and abilities build Edict. At 10 stacks, you invoke an Edict, cycling through the following effects in order: Meteor, Void Zone, Unholy Shadow and Holy Wrath. Each invocation triggers its effect at your target's location. |cff1eff00Meteor : |cffffffffDeals 56391 Fire damage, split between all enemies within 8 yds of the impact. |cff1eff00Void Zone : |cffffffffSummons a Void Zone for until cancelled sec that deals 11278 Shadow damage every 1 sec to enemies within it. |cff1eff00Unholy Shadow : |cffffffffDeals 22552 Shadow damage, plus 5639 Shadow damage every 1 sec for 8 sec. |cff1eff00Holy Wrath : |cffffffffHurls Holy bolts that deal 16912 Holy damage to the target, jumping to additional nearby enemies. Damage increases by 50% with each jump."
Edict of the Iron Council,Assembly of Iron,The Storm Peaks - Ulduar,Raid,,Epic,"Your damaging spells and abilities build Edict. At 10 stacks, you invoke an Edict, cycling through the following effects in order: Rune of Death, Overload, Fusion Punch. |cff1eff00Rune of Death : |cffffffffSummons a Rune of Death under your target for 8 sec, dealing @flat5+sp0.25+ap0.125@ Shadow damage every half-second to enemies within 13 yards. |cff1eff00Overload : |cffffffffYou erupt with lightning, dealing @flat35+sp1.75+ap0.875@ Nature damage to enemies within 10 yards. |cff1eff00Fusion Punch : |cffffffffYour next melee attack deals an additional @flat50+sp2.5+ap1.25@ Nature damage and an additional @flat25+sp1.25+ap0.625@ Nature damage every 1 sec for 6 sec."
Eonar's Seed,,,,,Epic,"Up to 20% of your overhealing on allies is stored as Eonar's Seed for 10 sec. When the target health lowers under 50%, it blooms, healing the target aswell as the most injured nearby ally for the stored amount. Stored amount cannot exceed 40% of the target's maximum health."
Exposed Heart,XT-002 Deconstructor,The Storm Peaks - Ulduar,Raid,,Epic,"Your basic attacks builds Stress. At 12 stacks, you expose your target's heart for 6 sec, increasing your damage dealt to it by 20%. While Exposed Heart is active, 40% of the damage you deal to the target is also dealt to all enemies within 8 yards of it. While Exposed Heart is active and up to 6 seconds after it expires you cannot generate Stress on any target."
Flame Vents,Flame Leviathan,The Storm Peaks - Ulduar,Raid,,Epic,"Dodging or Parrying builds Pressure, maximum 1 stack every 0,3 seconds. At 12 stacks, you vent flames for 8 sec, dealing @flat5+stam0.8@ Fire damage every 1 sec to enemies within 0 yards, scaling with your Stamina. While Flame Vents is active, you take 15% reduced damage and your movement speed is increased by an additional 20%."
Frostfire Paradox,Hodir,The Storm Peaks - Ulduar,Raid,,Epic,"Your Frost damage applies Biting Cold for 6 sec, stacking up to 10 times. Your direct Fire damage against a target with 6 or more stacks Shatters it, consuming all stacks and dealing @flat3+sp0.15+ap0.075@ Frost damage per stack to the target and to enemies within 8 yards."
Harpoon Barrage,,,,,Epic,"Every 8 sec while in combat, you throw Harpoons at up to 5 enemies between 8 and 35 yards away, pulling them to you and Pinning them for 5 sec. Pinned enemies are slowed by 50% and take 15% increased damage from you."
Heavy Incantations,,,,,Epic,Increases the damage of spells with a base cast time longer than 2.5 seconds by 30%.
Idol of Yogg-Saron,Yogg-Saron,The Storm Peaks - Ulduar,Raid,,Epic,"Whenever you kill an enemy, gain a stack of Idol of Yogg-Saron. At 10 stacks, you summon a Thing from Beyond that casts Void Spike at nearby enemies for 20 sec. |cff1eff00Void Spike : |cffffffffHurls a bolt of dark magic, dealing @flat15+sp0.75+ap0.375@ Shadow damage and @flat5+sp0.2+ap0.1@ Shadow damage to all enemies within 0 yards of the target."
Impaler's Tribute,,,,,Epic,"Your damaging abilities build Impale on the target. At 8 stacks, you Skewer the target for 8 sec, dealing 6766 Physical damage every 1 sec. While Skewered is active, your attacks against the target have a 20% chance to splinter, dealing 9040 Physical damage to up to 5 nearby enemies."
Inspiring Mending,,,,,Epic,Your direct healing spells have a 10% chance to grant a random ally a 3% bonus to all attributes for 15 sec. Stacks up to a total of 10%.
Leeching Swarm,Anub'arak,Icecrown - Trial of the Crusader,Raid,,Epic,"While below 50% health, your damaging spells and abilities unleash Leeching Swarm, dealing 6761 Nature damage every 1 sec to all enemies within 10 yds for 6 sec. You are healed for 30% of the damage dealt. If Leeching Swarm hits only 1 target, its damage and healing are increased by 100%. Leeching Swarm cannot occur more than once every 6 sec."
Lightning Charged,Thorim,The Storm Peaks - Ulduar,Raid,,Epic,"While in combat, you gain Lightning Charged every 8 sec, stacking up to 5 times lasting 12 sec. Each stack increases your attack speed by 2% and causes your melee and ranged auto-attacks to deal an additional @flat1+ap0.05@ Nature damage. At 5 stacks, your auto-attacks instead unleash Chain Lightning at the target, dealing @flat5+ap0.25@ Nature damage and chaining up to 5 times. Effect is lost on exiting combat."
Lingering Inspiration,,,,,Epic,Your periodic healing effects have a 5% chance to grant a random ally a 1% bonus to all attributes for 15 sec. Stacks up to a total of 10%.
Mutagenic Fumes,Grobbulus,Dragonblight - Naxxramas,Raid,,Epic,"Killing an enemy summons a Poison Cloud for 20, dealing 4512 Nature damage to nearby enemies every 1. This effect cannot occur more than once every 8 sec."
Nether Lord's Command,,,,,Epic,"Your damaging spells and abilities have a chance to open a Nether Portal for 10 sec. While active, the portal hurls Fel Lightning at your target every 2 sec, dealing 28196 Fel damage. Each strike has a 25% chance to summon a Fel Flamestrike under the target, dealing 45113 Fel damage and burning the ground for 4 sec, dealing 9025 Fel damage every 1 sec. You cannot summon a Nether Portal more than once every 6 sec."
Overwhelming Restoration,,,,,Epic,"Your healing done is increased by 30%, but your spells cost 500% more mana."
Pandemic,Rotting Cadaver / Blighted Zombie,Western Plaguelands - Dalson's Tears,Open World,Western Plaguelands,Epic,"When a target dies while affected by one of your damage-over-time effects, that effect spreads to all enemies within 20 yards."
Polarity Shift,Thaddius,Dragonblight - Naxxramas,Raid,,Epic,"You alternate between Positive Charge and Negative Charge. Taking direct melee damage shifts you to Negative Charge. While under Negative Charge, going 1 to 0 sec without taking direct melee damage shifts you to Positive Charge. You cannot shift more than once every 4 sec. |cff1eff00Positive Charge: |cffffffffIncreases your critical strike chance by 10% and damage dealt by 5%. |cff1eff00Negative Charge: |cffffffffReduces damage taken by 10%, increases healing received by 5%, and increases your movement speed by 5%."
Quickened Tempo,Bonechewer Backbreaker,Terokkar Forest - Bonechewer Ruins,Open World,Terokkar Forest,Epic,Your global cooldown is now reduced by your Haste.
Rage of the Colossus,Icehowl,Icecrown - Trial of the Crusader,Raid,,Epic,"Your critical strikes grant Momentum for 8 sec, stacking up to 10 times. Momentum cannot be gained more than once per second. Each stack increases your movement speed by 2% and damage dealt by 1%. At 10 stacks, you unleash a Massive Crash, dealing 56391 Physical damage to enemies within 10 yards of your target."
Ravenous Bellow,Gluth,Dragonblight - Naxxramas,Raid,,Epic,"Delivering a killing blow unleashes Terrifying Roar, dealing 6771 damage to enemies within 10 yds, slowing them by 50% and causing them to take 15% increased damage from you for 5 sec. This effect cannot occur more than once every 2 sec."
Reaper's Doom,,,,,Epic,"Dealing damage afflict the target with Reaper's Doom for 30 sec. When it expires, it detonates for 33855 Shadow damage split between all enemies within 8 yards. If the target dies while afflicted, Reaper's Doom detonates immediately."
Reaper's Verdict,,,,,Epic,"Your damage against enemies below 35% health is increased by 20%. When you damage an enemy below 15% health, you deal an additional 16952 Shadow damage. This effect cannot occur more than once every 2 sec per target."
Resonant Build,Tortured Druids,Silithus - Southwind Village,Open World,Silithus,Epic,"While you have at least 3 different Base Stat Echo types active (Strength, Agility, Intellect, Spirit, or Stamina), your damage is increased by 15%."
Rocket Strike,Mimiron,The Storm Peaks - Ulduar,Raid,,Epic,"Your melee and ranged attacks have a 5% chance to launch a Rocket at your target, dealing @flat15+sp0.75+ap0.375@ Fire damage. You fire 1 additional Rocket on random nearby enemies for each of your active pets or guardians. Subsequent Rockets hitting the same target deal reduced damage."
Sanctum Sentries,Auriaya,The Storm Peaks - Ulduar,Raid,,Epic,While in combat you are accompanied by two Sanctum Sentries. Enemies struck by either guardian take 10% increased damage from you for 4 sec.
Sanguine Bulwark,,,,,Epic,"Reduces your healing done by 25%. Absorbs up to 50% of damage taken, to a maximum of 5644 per hit."
Shadow Crash,General Vezax,The Storm Peaks - Ulduar,Raid,,Epic,"Your Shadow damage-over-time damage have a 3% chance to hurl a Shadow Crash at the target. On impact, it deals @flat20+sp1+ap0.5@ Shadow damage to enemies within 10 yards"
Slimebound Husk,Icehowl,Icecrown - Trial of the Crusader,Raid,,Epic,"Taking direct damage grants a stack of Molten Blood, up to 8. At 8 stacks, you shed your skin, leaving behind a Poisonous Slime for 10 sec that deals 11278 Nature damage every 1 sec to nearby enemies, while you gain 15% increased movement speed and 10% reduced damage taken for 6 sec."
Stitched Fury,,,,,Epic,"While below 15% health, you go into a Frenzy, increasing Attack Speed by 30% and Physical damage dealt by 25%."
Stone Shatter,,,,,Epic,"The first time you damage an enemy, you mark it with Fracture for 10 sec. If it dies while fractured, it shatters, dealing @flat10+sp0.5+ap0.25@ Physical damage to enemies within 8 yards."
Storm of the Spellweaver,Malygos,Borean Tundra - Coldarra - The Eye of Eternity,Raid,,Epic,"Dealing Arcane damage grants a stack of Overcharge. At 10 stacks, you fire a salvo of Magic Missiles into the air, striking up to 3 nearby enemies for 33825 Arcane damage each. After triggering, you cannot gain Overcharge stacks for 2 sec."
Temporal Pressure,Chrono-Lord Epoch,Caverns of Time - The Culling of Stratholme,Dungeon,,Epic,"Your cooldowns are now reduced by your Haste. Affected spells : Shield Slam, Revenge, Thunder Clap, Mortal Strike, Bloodthirst, Whirlwind, Shockwave, Concussion Blow."
The Harvester's Tithe,,,,,Epic,"You constantly harvest the souls of nearby enemies, gaining a stack of Harvested Soul. Each stack increases your damage done by 1%. Up to 10% increase. When an enemy with its soul harvested dies, you regain 11273 health."
The Sporelord's Gift,,,,,Epic,"While in combat, you periodically summon Spores for 20 sec, increasing the critical strike damage of nearby allies by 10%."
The Unclean's Fever,,,,,Epic,"Enemies that strike you are afflicted with Decrepit Fever, dealing 3381 Shadow damage each second for 3 sec and reduces the damage they deal to you by 10% for the duration."
Titan's Grip,"Herod, Scarlet Champion",Tirisfal Glades - Scarlet Monastery - Hall of Champions,Dungeon,,Epic,Allows you to wield two-handed weapons in one hand. Your damage is reduced by 20%.
Twilight Equilibrium,Fjola Lightbane,Icecrown - Trial of the Crusader,Raid,,Epic,"You begin combat in Light Essence. Light Essence: Dealing Holy, Fire, or Nature damage applies Light Charge for 8 sec, stacking up to 20 times. Dealing Shadow, Frost, or Arcane damage consumes Light Charge to unleash Darkburst, dealing 3380 Shadow damage per stack to the target and all enemies within 8 yards and shifts you into Dark Essence. Dark Essence: Dealing Shadow, Frost, or Arcane damage applies Dark Charge for 8 sec, stacking up to 20 times. Dealing Holy, Fire, or Nature damage consumes Dark Charge to unleash Lightburst, dealing 3380 Holy damage per stack to the target and all enemies within 8 yards and shifts you into Light Essence."
Weapon Mastery,Warrior mobs,Hellfire Peninsula - Shattered Halls,Dungeon,,Epic,You can equip all weapon types.
Widow's Venom,,,,,Epic,"Dealing Nature damage grants a stack of Venomous. At 12 stacks, you unleash Poison Bolt Volley, spraying poison at all enemies within 10 yds, dealing 22557 Nature damage and an additional 5644 Nature damage every second for 4 sec. After triggering, you cannot gain Venomous stacks for 4 sec."
Arcane Burn,Ethereal Arcanist / Plunderer,Terokkar Forest - Tomb of Lights; also Blade's Edge - Bash'ir Landing,Open World,Terokkar Forest,Rare,"While above 20% mana, your spell damage done is increased by 15%, but your ressource costs are increased by 50%."
Arcane Cadence,Ethereal Plunderers / Arcanists,Terokkar Forest - Tomb of Lights,Open World,Terokkar Forest,Rare,"Casting an offensive spell or ability increases your damage done by 3% for 6 sec. While this effect is active, each different offensive spell or ability you use increases this bonus by an additional 3% and refreshes the duration."
Arcane Density,Scarlet Paladins,Western Plaguelands - Hearthglen,Open World,Western Plaguelands,Rare,"Increases your Spell Power by an amount equal to 5% of your Armor, up to a maximum of 150% of your intellect. Current bonus: @armor0.05LOWERintellect1.5@ Spell Power."
Arcane Hazard,,,,,Rare,"While 4 or more enemies are within range, the damage of your Arcane Explosion, Blizzard, Flamestrike, and Blast Wave is increased by 20%."
Arcane Surge,Bloodsail Mage / Raider,Stranglethorn Vale - Booty Bay (north bandit camp),Open World,Stranglethorn Vale,Rare,"Casting a spell or ability has a chance to make your next eligible spell instant-cast. Eligible spells: Arcane Blast, Fireball, Frostbolt, Frostfire Bolt, Pyroblast, Flamestrike."
Arcane Ward,,,,,Rare,Increases Arcane Resistance by @flat10+lvl0.5@.
Archmage's Mark,,,,,Rare,"Dealing Fire, Frost, and Arcane damage within 6 sec increases the damage you deal by 10% for 12 sec."
Battle Rhythm,Blackrock Stronghold mobs,Burning Steppes - Blackrock Stronghold,Open World,Burning Steppes,Rare,"Increases your critical strike damage by 1%, plus an additional 1% for every 150 Critical Strike Rating you have. Current bonus: @flat1+critRating0.0066@%"
Battlefield Hazard,,,,,Rare,"While 4 or more enemies are within range, the damage of your Thunder Clap, Shockwave, Whirlwind, and Bladestorm is increased by 20%."
Beast Bane,Sinewy Wolf,Crystalsong Forest - Forlorn Woods,Open World,Crystalsong Forest,Rare,Increases your spell power by @flat120+lvl6@ when fighting Beasts.
Beast Slayer,,,,,Rare,Increases your attack power by @flat180+lvl9@ when fighting Beasts.
Blighted Hazard,,,,,Rare,"While 4 or more enemies are within range, the damage of your Death and Decay, Blood Boil, Howling Blast, and Corpse Explosion is increased by 20%."
Crusader's Surge,Scarlet Paladins,Western Plaguelands - Hearthglen,Open World,Western Plaguelands,Rare,"Casting a spell or ability has a chance to make your next eligible spell instant-cast. Eligible spells : Exorcism, Flash of Light, Holy Light."
Crushing Finish,Blackrock Slayer,Burning Steppes - Blackrock Stronghold,Open World,Burning Steppes,Rare,"When you damage a target below 30% health with a melee or ranged attack, you Execute it, dealing @flat10+ap0.5@ Physical damage. Damage is increased by 2% per point of Expertise. Cannot occur more than once every 6 sec per target."
Demon Bane,,,,,Rare,Increases your spell power by @flat120+lvl6@ when fighting Demons.
Demon Slayer,,,,,Rare,Increases your attack power by @flat180+lvl9@ when fighting Demons.
Divine Surge,Clerics / Shattered Hand Zealot,Eastern Plaguelands - Tyr's Hand; also Shattered Halls,Open World / Dungeon,Eastern Plaguelands,Rare,"Casting a spell or ability has a chance to make your next eligible spell instant-cast. Eligible spells: Smite, Holy Fire, Mind Blast, Flash Heal, Greater Heal, Heal, Binding Heal, and Prayer of Healing."
Dragon Slayer,,,,,Rare,Increases your attack power by @flat180+lvl9@ when fighting Dragonkin.
Dragonkin Bane,,,,,Rare,Increases your spell power by @flat120+lvl6@ when fighting Dragonkin.
Earthen Snap,,,,,Rare,Your first hit after entering combat roots the target for 1.50 sec.
Earthen Spike,,,,,Rare,"When struck by a melee attack, you have a chance to launch an earthen spike at the attacker, dealing @flat20+armor0.15@ damage to the attacker and nearby enemies. Damage is further increased by your Armor and generates a high amount of threat."
Echoing Tides,Grove Walker,Crystalsong Forest - Forlorn Woods,Open World,Crystalsong Forest,Rare,"Your periodic effects have a 30% chance to flare, causing them to deal damage or healing an additional time. Cannot occur more than once every until cancelled on the same target."
Elemental Bane,Grove Walker,Crystalsong Forest - Forlorn Woods,Open World,Crystalsong Forest,Rare,Increases your spell power by @flat120+lvl6@ when fighting Elementals.
Elemental Slayer,,,,,Rare,Increases your attack power by @flat180+lvl9@ when fighting Elementals.
Ember Ward,Raging Flame,Wintergrasp - south east flame region,Open World,Wintergrasp,Rare,Increases Fire Resistance by @flat10+lvl0.5@.
Emberlord's Gift,,,,,Rare,"Dealing Fire damage grants a stack of Kindling. At 100 stacks, you erupt in flame, dealing @flat90+sp3+ap1.5@ Fire damage to nearby enemies and @flat90+sp3+ap1.5@ additional Fire damage over time for 6 sec. After erupting, you cannot gain Kindling for 6 sec."
Entropic Fusion,Demons,Blade's Edge Mountains - Forge Camp: Wrath,Open World,Hellfire Peninsula,Rare,Dealing Fire and Shadow damage within 3 sec increases the damage you deal by 10% for 6 sec.
Essence Tap,,,,,Rare,"Damage dealt by your damage-over-time effects has a chance to grant a random ally 1% maximum Mana, 8 Energy, 4 Rage, or 16 Runic Power."
Fel Hazard,,,,,Rare,"While 4 or more enemies are within range, the damage of your Rain of Fire, Hellfire, Shadowflame, and Shadowfury is increased by 20%."
Fel Surge,Ethereal Necromancer / Bloodsail Raider,Terokkar Forest - Tomb of Lights; also Stranglethorn Vale - Booty Bay (north bandit camp),Open World,Terokkar Forest,Rare,"Casting a spell or ability has a chance to make your next eligible spell instant-cast. Eligible spells: Shadow Bolt, Incinerate, Soul Fire, Chaos Bolt, Seed of Corruption, Haunt, Unstable Affliction."
Fortress Soul,Scarlet Knights,Western Plaguelands - Scarlet Encampments,Open World,Western Plaguelands,Rare,"Reduces damage taken by 35%, but reduces damage dealt by 70%. Increases threat generated by 200%."
Frost Bite,Freezing Ghoul,Western Plaguelands - The Writhing Haunt,Open World,Western Plaguelands,Rare,"When struck, you have a 10% chance to freeze the attacker for 3 sec seconds."
Frost Ward,,,,,Rare,Increases Frost Resistance by @flat10+lvl0.5@.
Giant Bane,,,,,Rare,Increases your spell power by @flat120+lvl6@ when fighting Giants.
Giant Slayer,,,,,Rare,Increases your attack power by @flat180+lvl9@ when fighting Giants.
Healing Cadence,Seers (packs of 3),Zangarmarsh - southern path toward Nagrand/Shattrath,Open World,Zangarmarsh,Rare,"Casting a healing spell or ability increases your healing done by 3% for 6 sec. While this effect is active, each different healing spell or ability you use increases this bonus by an additional 3% and refreshes the duration."
Holy Hazard,,,,,Rare,"While 4 or more enemies are within range, the damage of your Holy Nova is increased by 20%."
Hungering Curse,Wandering Shadow,"Wintergrasp - west side, near blackened area",Open World,Wintergrasp,Rare,"Every 2 sec while in combat, you afflict a nearby enemy with Siphon Life, dealing @sp1.2+ap0.6@ Shadow damage over 12 sec. If the affected target dies, you are healed for @sp0.2+ap0.1@. This effect deals at least 5 damage and heals at least 10 health."
Hunting Hazard,,,,,Rare,"While 4 or more enemies are within range, the damage of your Volley and Multi-Shot is increased by 20%."
Insulated Soul,Crimson Defender,Eastern Plaguelands - Stratholme - The Hoard,Dungeon,,Rare,Reduces the duration of stun effects on you by @flat30@%.
Machine Slayer,,,,,Rare,Increases your attack power by @flat180+lvl9@ when fighting Mechanical enemies.
Mana Infusion,,,,,Rare,"While above 80% mana, restoring mana also restores health equal to 50% of the mana restored."
Mechanical Bane,,,,,Rare,Increases your spell power by @flat120+lvl6@ when fighting Mechanical enemies.
Nature's Surge,,,,,Rare,"Casting a spell or ability has a chance to make your next eligible spell instant-cast. Eligible spells: Wrath, Starfire. Healing: Healing Touch, Nourish, Regrowth."
Permafrost Aura ,,,,,Rare,"While in combat, you deal @sp0.16+ap0.08@ Frost damage every 2 sec to enemies within 8 yards. This effect deals at least 5 damage. Enemies hit have their attack speed reduced by 5% for 3 sec."
Provoking Presence,,,,,Rare,Increases threat generated by @flat3@%.
Raging Momentum,Warrior-type mobs without shields or Execute,Hellfire Peninsula - Shattered Halls,Dungeon,,Rare,"While below 80% Rage, your Rage generation is increased by 20%. While above 80% Rage, your damage done is increased by 10%."
Reaper's Reprieve,,,,,Rare,"Fatal damage instead reduces you to 1 health, prevents all damage for 3 sec, and heals you for 35% of your maximum health. This effect cannot occur more than once every 60 min and can trigger without consuming Cheat Death charges."
Relentless Energy,Same mobs as Subtle Presence,(see Subtle Presence),Open World,Stranglethorn Vale,Rare,"While below 80% Energy, your Energy regeneration is increased by 10%. While above 80% Energy, your damage done is increased by 10%."
Rootbreaker,,,,,Rare,Reduces the duration of root effects on you by @flat30@%.
Runic Momentum,,,,,Rare,"While below 80% Runic Power, your Runic Power generation is increased by 20%. While above 80% Runic Power, your damage done is increased by 10%."
Sanctified Hazard,,,,,Rare,"While 4 or more enemies are within range, the damage of your Consecration, Divine Storm, and Hammer of the Righteous is increased by 20%."
Shadow Hazard,Defias Cutpurse / Bloodsail Raider,Elwynn Forest - north of Goldshire; also Stranglethorn Vale - Booty Bay (north bandit camp),Open World,Elwynn Forest,Rare,"While 4 or more enemies are within range, the damage of your Fan of Knives is increased by 20%."
Shadow Ward,Wandering Shadow,"Wintergrasp - west side, near blackened area",Open World,Wintergrasp,Rare,Increases Shadow Resistance by @flat10+lvl0.5@.
Shielded Steps,,,,,Rare,Reduces damage taken from area-of-effect attacks by @flat1@%.
Static Overflow,Whispering Wind,"Wintergrasp - bottom right corner, next to fireplace",Open World,Wintergrasp,Rare,"Every 3 sec while in combat, your next spell or ability also hurls lightning at up to 3 random nearby enemies, dealing @sp0.4+ap0.2@ Nature damage. This effect deals at least 15 damage."
Steady Casting,Bloodsail Raider,Stranglethorn Vale - Booty Bay (north bandit camp),Open World,Stranglethorn Vale,Rare,Reduces pushback suffered from damaging attacks while casting by @flat20@%.
Steady Grip,Bloodsail Raider,Stranglethorn Vale - Booty Bay (north bandit camp),Open World,Stranglethorn Vale,Rare,Reduces the duration of disarm effects on you by @flat30@%.
Stoneskin Threads,,,,,Rare,Reduces the duration of movement slowing effects on you by @flat15@%.
Stored Momentum,,,,,Rare,"The resources you spend are stored. Every 5 sec, your next ability deals additional damage based on the amount stored."
Storm Hazard,,,,,Rare,"While 4 or more enemies are within range, the damage of your Chain Lightning and Thunderstorm is increased by 20%."
Storm Surge,Grimtotem mobs,Feralas,Open World,Feralas,Rare,"Casting a spell or ability has a chance to make your next eligible spell instant-cast. Eligible spells: Lightning Bolt, Chain Lightning, Lava Burst, Healing Wave, Chain Heal."
Subtle Presence,Bloodsail Raider / Same mobs as Relentless Energy,Stranglethorn Vale - Booty Bay (north bandit camp); also see Relentless Energy,Open World,Stranglethorn Vale,Rare,Reduces threat generated by @flat2@%.
Sundered Will,,,,,Rare,Reduces the duration of fear effects on you by @flat30@%.
The Last Wall,Giant Yetis,Alterac Mountains,Open World,Alterac Mountains,Rare,"Increases your maximum health by 50%, but reduces healing received by 60%."
Undead Bane,Slavering Ghoul,Western Plaguelands - Sorrow Hill,Open World,Western Plaguelands,Rare,Increases your spell power by @flat120+lvl6@ when fighting Undead.
Undead Slayer,Slavering Ghoul,Western Plaguelands - Sorrow Hill,Open World,Western Plaguelands,Rare,Increases your attack power by @flat180+lvl9@ when fighting Undead.
Unstable Missiles,Bash'ir Ethereals,Blade's Edge Mountains - Bash'ir Landing,Open World,Blade's Edge Mountains,Rare,"Your direct spells have a chance to launch an Unstable Missile at the target, dealing @sp0.3+ap0.15@ Arcane damage. This effect deals at least 10 damage."
Verdant Ward,Whispering Wind,"Wintergrasp - bottom right corner, next to fireplace",Open World,Wintergrasp,Rare,Increases Nature Resistance by @flat10+lvl0.5@.
Wild Hazard,,,,,Rare,"While 4 or more enemies are within range, the damage of your Hurricane, Starfall, and Swipe is increased by 20%."
